age;education.num;race;sex;hours.per.week;income
42;13;0;0;60;1
36;13;0;0;45;1
39;14;0;0;40;-1
21;10;2;0;40;-1
23;10;0;1;40;-1
47;9;0;1;40;-1
30;9;0;1;40;-1
35;10;0;0;40;-1
26;10;0;1;40;-1
26;13;0;0;55;-1
41;14;0;0;40;-1
30;10;1;0;40;-1
28;9;0;0;40;-1
56;9;0;1;40;-1
35;9;0;0;40;-1
34;11;0;1;40;-1
29;9;0;0;35;-1
23;12;0;1;20;-1
24;9;0;1;40;-1
62;10;0;0;40;-1
77;10;0;1;1;-1
47;15;0;1;60;1
48;16;0;0;60;1
42;15;0;0;50;1
31;14;0;0;40;1
43;13;0;0;40;1
50;16;0;0;65;1
36;13;0;0;50;1
49;14;0;0;40;1
38;9;0;0;40;1
48;16;0;1;46;1
46;13;0;0;40;1
56;9;0;0;60;1
37;9;0;0;45;1
51;9;1;0;40;1
43;14;0;0;40;1
46;9;0;0;40;-1
42;14;0;0;60;1
45;10;0;1;35;1
23;10;0;0;40;-1
45;13;0;0;40;1
30;9;0;0;40;-1
49;16;1;0;60;1
49;12;0;1;40;1
57;15;2;0;40;1
42;13;0;0;80;1
43;10;0;1;40;1
43;10;0;0;40;1
42;15;0;0;60;1
53;13;0;0;55;1
40;14;0;0;48;1
46;14;0;0;40;1
41;13;0;0;60;1
49;13;0;0;40;1
31;13;0;0;50;1
34;14;0;0;50;1
40;14;2;0;40;1
50;10;0;1;38;1
54;9;2;0;40;1
49;10;0;0;50;1
44;14;0;1;60;1
57;13;0;0;40;1
28;14;0;1;55;-1
57;10;0;0;40;1
59;13;0;0;43;1
38;12;0;1;40;1
36;9;0;0;60;1
55;10;0;0;40;1
34;9;0;0;60;1
51;10;0;0;50;1
46;9;0;0;70;1
33;14;0;0;45;1
31;13;0;1;35;1
31;13;0;1;35;1
59;9;0;0;52;1
48;12;0;0;40;1
33;13;0;0;45;1
46;10;0;0;50;1
53;13;1;0;40;1
39;14;0;1;18;1
44;9;0;0;40;1
45;14;0;0;50;1
42;13;0;0;40;1
24;4;0;0;40;1
57;13;0;0;40;1
51;13;0;0;40;1
50;13;0;0;40;1
50;13;0;0;50;1
52;14;0;0;50;1
46;13;0;0;42;1
44;10;2;0;40;1
47;13;0;0;45;1
36;13;0;0;45;1
34;10;0;0;38;1
49;13;0;0;50;1
45;13;0;0;45;1
46;13;0;0;50;1
53;13;0;0;48;1
63;16;0;0;50;1
52;13;0;0;40;1
44;13;1;0;40;1
37;13;0;0;40;1
44;16;0;0;40;1
53;13;0;0;40;1
32;13;0;0;40;1
50;16;0;0;45;1
42;14;2;0;40;1
50;12;0;0;40;1
33;13;0;0;55;1
50;14;0;1;40;1
32;13;0;1;32;1
41;9;0;0;40;1
54;9;0;0;55;1
34;12;1;0;50;1
41;13;0;0;55;1
39;15;0;0;50;1
42;14;0;0;40;1
31;13;0;0;45;1
45;11;0;0;42;1
41;13;0;0;42;1
48;14;0;1;38;1
32;9;0;0;55;1
41;10;1;0;40;1
31;13;0;1;40;1
30;10;2;0;40;1
41;10;0;1;40;1
48;14;0;0;40;1
60;16;0;0;40;1
38;13;2;0;65;1
46;3;2;0;40;-1
28;10;0;0;55;1
64;16;0;0;60;1
31;13;0;1;20;1
42;14;0;0;50;1
43;11;0;1;32;1
61;10;0;0;35;1
48;16;2;0;40;1
46;14;0;0;45;1
44;13;0;0;50;1
39;10;0;0;50;1
46;13;0;0;40;1
48;16;0;0;50;1
27;7;0;0;40;1
22;10;0;0;37;-1
51;13;0;0;40;-1
48;10;0;0;40;1
52;11;0;0;40;1
31;9;0;0;40;1
53;13;0;0;40;1
51;14;0;0;60;1
46;16;0;1;52;1
25;10;1;0;36;1
46;9;1;0;40;1
57;9;0;0;30;1
44;13;0;0;50;1
42;9;0;0;50;1
42;14;0;0;40;1
30;13;0;0;55;1
54;16;0;0;50;1
46;15;0;0;45;1
33;13;0;0;50;1
38;10;0;0;50;1
50;14;0;0;45;1
46;7;0;0;40;1
41;14;0;1;35;1
56;13;0;0;65;1
39;13;0;0;50;1
46;16;0;0;50;1
48;4;0;0;40;-1
35;16;2;0;40;1
56;10;0;0;60;1
49;9;0;0;60;1
61;15;0;0;40;1
43;9;0;0;40;1
37;9;0;0;50;-1
43;13;0;0;40;1
41;9;0;0;40;1
61;9;0;0;40;1
30;13;0;0;40;1
58;10;0;0;40;1
40;9;0;0;40;1
44;14;0;0;40;1
40;13;0;0;32;1
58;9;0;0;40;-1
48;9;0;0;40;1
49;9;0;0;40;-1
50;13;0;0;50;1
43;13;0;0;55;1
53;9;0;0;40;1
42;16;0;0;50;1
56;9;0;0;40;1
44;13;0;0;56;1
29;13;0;1;50;1
35;9;0;0;40;1
44;9;0;0;40;1
34;13;0;0;48;1
42;14;2;0;55;1
43;13;0;0;40;1
57;11;0;0;45;-1
50;13;1;0;60;1
45;10;0;0;40;1
32;13;0;0;60;1
33;13;0;0;45;1
43;10;0;0;15;1
32;9;0;0;50;1
36;9;0;0;48;1
50;9;0;0;60;1
27;9;0;0;45;-1
60;15;0;0;40;1
53;14;0;0;50;1
61;16;0;0;40;1
32;13;0;0;40;1
52;13;0;0;60;1
37;9;0;0;55;1
33;9;0;1;40;1
57;16;0;0;40;1
43;9;0;0;99;1
50;9;0;0;40;1
43;10;0;0;40;1
45;9;0;0;40;1
37;9;0;0;45;1
31;14;0;0;43;1
33;12;0;0;50;1
56;9;0;0;50;1
43;10;0;1;50;1
28;10;0;1;40;1
52;6;0;0;47;1
38;13;0;0;40;1
40;4;1;0;40;1
57;9;0;0;40;1
41;10;0;0;50;1
37;9;0;0;50;1
42;9;0;0;40;1
44;14;0;0;35;1
39;13;0;0;50;1
53;10;2;1;40;1
51;10;0;0;65;1
38;13;0;0;50;1
43;10;0;0;40;1
33;12;0;0;60;1
43;13;0;0;40;1
35;13;0;0;45;1
41;10;0;0;50;1
45;10;0;0;40;1
59;9;0;0;40;1
30;14;0;0;45;1
32;13;0;0;45;1
39;13;0;0;60;1
43;13;0;1;70;1
32;13;0;0;55;1
39;9;0;0;40;1
37;13;0;0;40;1
34;10;0;1;40;1
46;10;0;0;45;1
51;16;0;0;40;1
29;9;0;0;55;1
34;13;0;1;40;1
50;10;0;0;35;1
34;10;0;0;40;1
58;6;0;0;40;1
56;3;0;0;67;1
34;13;1;0;48;1
36;13;0;0;40;1
46;9;0;0;40;1
35;13;2;0;50;1
50;9;0;0;40;1
27;13;0;0;45;1
32;12;0;0;40;1
44;9;0;0;70;1
39;9;0;0;46;1
33;9;0;1;20;1
59;9;0;0;40;1
59;10;0;0;55;1
51;10;0;0;40;1
37;11;0;0;40;1
57;9;1;0;40;1
25;11;0;1;40;1
54;9;0;0;65;1
47;10;0;0;40;1
52;16;0;0;70;1
40;13;0;0;40;1
27;13;0;0;60;1
31;13;1;0;40;1
41;9;0;0;55;1
41;9;0;0;45;1
50;9;1;0;55;1
36;10;0;0;40;1
27;9;1;1;40;1
46;10;0;0;40;1
61;9;0;0;40;1
39;13;0;0;40;1
47;9;0;0;45;1
45;9;0;0;40;1
55;9;0;1;40;1
38;7;0;0;45;1
57;13;0;0;55;1
38;6;0;0;40;1
28;13;0;0;40;1
40;10;0;0;40;1
36;13;0;0;50;1
36;9;0;0;60;1
30;9;0;0;50;1
35;9;0;1;42;1
32;9;0;0;60;1
55;9;0;0;40;1
29;9;0;0;30;1
37;12;0;0;40;1
36;11;0;0;50;1
42;14;0;1;48;1
40;16;0;0;50;1
26;14;0;0;40;1
44;14;0;0;60;1
47;13;0;0;40;1
35;14;0;0;40;1
58;10;0;0;40;1
41;9;0;0;55;1
41;9;0;0;40;1
38;16;0;0;50;1
47;13;0;0;40;1
39;9;1;0;40;1
42;10;0;0;50;1
42;13;0;0;40;1
37;11;0;1;35;1
41;13;0;0;40;1
51;9;0;0;40;1
50;13;0;0;50;1
43;6;1;0;40;1
28;12;0;0;70;1
35;12;0;0;45;1
59;9;0;0;40;1
28;13;0;0;40;1
42;15;0;0;40;1
51;14;0;0;47;1
54;14;0;0;44;1
45;9;0;0;40;1
38;13;1;1;40;1
46;14;0;0;40;1
33;10;0;0;40;1
36;13;0;0;40;1
36;16;0;0;50;1
61;10;0;0;40;1
30;9;0;0;48;1
50;11;0;1;36;1
58;11;0;0;48;1
43;13;0;0;40;1
40;10;0;0;68;1
55;9;0;0;40;1
52;13;0;0;40;1
44;10;0;0;55;1
39;15;0;0;50;1
45;13;0;0;60;1
42;13;0;0;40;1
29;10;0;0;50;1
46;10;0;0;40;1
55;13;0;0;40;1
33;15;0;0;40;1
44;10;0;0;60;1
37;13;0;0;47;1
64;12;0;0;50;1
43;14;0;0;45;1
36;13;0;0;35;1
55;13;0;0;40;1
34;9;0;0;45;1
29;11;0;0;48;1
37;10;1;0;60;1
42;13;2;1;40;1
41;12;0;0;40;1
45;10;0;0;40;1
35;9;2;0;50;1
61;11;0;0;60;1
49;10;0;0;40;1
52;9;0;0;60;1
46;12;0;0;50;1
23;14;2;0;50;1
36;10;0;0;40;1
43;9;3;0;40;1
35;14;0;0;40;1
39;9;0;0;40;1
39;13;0;0;40;1
47;14;0;0;50;1
53;10;0;0;40;1
53;10;0;0;45;1
26;14;0;1;40;-1
52;9;0;0;50;-1
61;3;0;0;56;-1
28;9;1;0;40;-1
42;14;0;1;40;-1
44;14;0;0;42;-1
51;9;0;0;40;-1
39;9;0;0;40;-1
36;13;0;0;44;-1
45;10;0;0;50;-1
27;13;0;0;40;-1
40;14;0;1;35;-1
25;13;0;1;40;-1
47;9;0;0;40;-1
32;13;0;0;50;-1
53;9;0;1;38;-1
32;10;0;0;60;-1
49;9;0;0;40;-1
27;11;0;1;36;-1
26;13;0;0;38;-1
60;9;1;0;50;-1
56;14;0;0;60;-1
58;12;0;0;40;-1
39;13;0;0;50;-1
53;14;0;1;38;-1
27;10;2;0;45;-1
46;14;0;1;60;-1
30;9;0;0;45;-1
38;9;0;0;40;-1
41;13;0;1;40;-1
27;9;0;0;75;-1
43;13;0;0;40;-1
30;13;0;0;40;-1
25;13;0;1;40;-1
26;13;0;0;38;-1
53;13;0;1;54;-1
39;7;0;0;46;-1
47;10;0;1;40;-1
44;10;0;0;55;-1
61;9;0;0;60;1
44;12;0;0;40;1
28;9;0;0;42;1
34;13;0;0;40;1
39;13;0;0;40;1
41;11;0;0;48;1
35;13;0;0;70;1
34;9;0;0;50;1
30;12;0;0;50;1
30;9;0;0;50;1
33;13;0;0;45;1
60;9;0;0;40;1
31;9;0;0;40;1
50;9;0;0;40;1
27;9;0;0;45;1
37;9;0;0;65;1
30;9;0;0;40;1
49;10;0;0;44;1
52;14;1;1;40;1
39;8;0;0;40;1
37;9;0;0;48;1
39;14;0;0;50;1
38;13;0;0;54;1
44;13;0;0;40;1
45;10;0;0;40;1
54;9;0;0;40;1
58;12;1;0;40;1
36;13;0;0;55;1
45;5;0;0;40;1
46;11;0;0;40;1
41;9;0;0;45;1
41;14;0;0;40;1
34;9;0;0;50;1
33;16;0;0;40;1
63;13;0;0;40;1
56;10;0;0;50;1
48;9;0;1;40;1
40;12;0;0;55;1
59;10;0;0;45;1
32;13;0;0;50;1
29;13;0;0;60;1
41;9;0;0;40;1
30;10;0;0;40;1
34;14;0;0;40;1
41;10;0;0;65;1
46;13;0;0;45;1
39;14;0;0;45;1
26;9;1;0;60;1
27;13;0;0;55;1
61;13;0;0;40;1
37;13;0;1;40;1
67;10;0;0;70;-1
66;10;0;0;40;1
66;9;0;0;10;1
74;13;0;0;12;1
66;9;0;0;40;1
71;10;1;0;2;-1
80;10;0;0;60;-1
24;9;0;1;40;-1
20;7;2;1;40;-1
28;10;0;0;40;-1
59;9;0;1;30;-1
24;9;0;1;32;-1
24;10;0;0;40;-1
52;9;0;1;40;-1
39;13;0;0;40;-1
43;9;1;1;35;-1
22;6;0;1;25;-1
30;12;0;1;40;-1
21;7;0;0;40;-1
24;9;0;1;40;-1
21;10;0;1;28;-1
49;14;0;0;45;1
52;13;0;1;40;1
38;10;0;0;40;-1
30;13;0;0;48;-1
38;13;2;0;40;-1
25;8;0;0;40;-1
34;13;0;1;45;-1
24;13;0;0;45;-1
25;13;0;0;40;-1
31;13;0;0;38;-1
39;13;0;0;40;-1
35;9;0;0;60;-1
31;6;0;0;40;-1
30;9;0;0;42;-1
42;14;0;1;35;-1
42;10;0;1;50;-1
41;13;0;1;40;-1
46;9;0;0;40;-1
34;13;0;0;40;-1
33;9;1;0;40;-1
36;13;0;0;40;-1
36;13;0;1;40;-1
44;12;1;1;40;-1
28;9;0;1;52;-1
52;9;0;1;38;-1
43;13;0;0;40;-1
45;9;0;1;40;-1
30;13;0;0;45;-1
50;10;0;0;48;-1
41;13;0;1;20;-1
31;10;0;1;20;-1
27;9;0;0;40;-1
63;13;0;0;35;-1
33;9;0;1;25;-1
28;9;0;0;40;-1
34;10;0;0;40;-1
31;11;0;0;40;-1
30;15;1;0;40;-1
47;12;0;0;40;-1
35;9;0;0;40;-1
32;10;0;0;47;-1
33;10;0;0;50;-1
38;9;0;0;48;-1
35;10;0;0;40;-1
42;9;0;0;43;-1
47;13;0;0;40;-1
34;9;0;1;35;-1
53;10;0;0;40;-1
37;12;0;0;45;-1
33;10;0;0;40;-1
32;10;3;1;40;-1
38;13;0;0;40;-1
52;10;0;0;60;-1
35;13;0;0;80;-1
46;14;0;0;60;-1
28;9;0;0;30;-1
58;12;0;0;40;-1
29;13;0;0;70;-1
30;10;0;0;40;-1
53;9;0;0;50;-1
53;9;1;0;40;-1
31;12;0;1;40;-1
46;10;0;0;40;-1
59;11;0;0;50;-1
62;9;0;0;40;-1
46;9;0;0;35;-1
45;10;0;0;50;-1
63;10;0;0;40;-1
73;2;0;0;20;-1
75;10;1;0;40;-1
45;15;1;1;40;-1
39;9;0;0;40;-1
32;10;0;1;38;-1
25;13;0;1;60;-1
24;5;0;0;40;-1
24;9;1;0;30;-1
31;7;1;0;40;-1
31;10;0;0;16;-1
20;9;1;1;30;-1
39;10;0;1;55;-1
19;9;0;1;40;-1
18;9;0;1;40;-1
18;10;0;0;20;-1
23;12;0;0;20;-1
19;10;0;1;30;-1
17;7;0;0;15;-1
17;8;0;1;25;-1
22;10;1;0;20;-1
19;10;2;1;25;-1
21;10;0;1;35;-1
23;10;0;1;40;-1
39;6;0;1;15;-1
20;10;0;1;28;-1
20;12;0;0;20;-1
21;9;0;1;16;-1
18;9;0;1;15;-1
30;10;0;1;25;-1
19;10;0;0;16;-1
22;10;0;0;30;-1
26;1;0;0;40;-1
19;9;0;1;40;-1
22;9;0;0;40;-1
37;13;1;0;32;-1
47;5;0;1;30;-1
57;9;0;1;25;-1
21;10;0;0;30;-1
21;9;1;0;25;-1
25;9;0;0;16;-1
23;13;0;1;40;-1
17;5;0;0;15;-1
19;5;0;0;35;-1
17;7;0;0;18;-1
20;10;0;0;36;-1
21;10;0;1;9;-1
32;9;0;0;60;-1
50;9;0;0;60;-1
31;10;0;0;50;-1
60;5;0;0;84;-1
34;9;0;0;40;-1
34;11;0;0;50;-1
45;9;0;0;40;-1
